Brand,Position,Previous Position,Brand Value ($M),Previous Brand Value ($M),Rating,Previous Rating,Year,Previous Year
Amazon,1,2,299279.98,350273.25,AAA,AAA+,,
Apple,2,1,297511.81,355079.97,AAA-,AAA,,
Google,3,3,281381.99,263424.93,AAA+,AAA+,,
Microsoft,4,4,191574.33,184244.52,AAA,AAA,,
Walmart,5,5,113781.25,111918.32,AA+,AAA-,,
Samsung Group,6,6,99659.26,107284,AAA-,AAA-,,
ICBC,7,8,69545.25,75119.27,AAA,AAA+,,
Verizon,8,10,67442.81,69639.25,AA+,AAA-,,
Tesla,9,28,66207.46,46009.69,AAA-,AA+,,
TikTok/Douyin,10,18,65696.09,58979.93,AAA-,AA+,,
Deutsche Telekom,11,17,🔒,🔒,🔒,🔒,,
China Construction Bank,12,11,🔒,🔒,🔒,🔒,,
Home Depot,13,20,🔒,🔒,🔒,🔒,,
Facebook,14,7,🔒,🔒,🔒,🔒,,
State Grid,15,16,🔒,🔒,🔒,🔒,,
Mercedes-Benz,16,15,🔒,🔒,🔒,🔒,,
Agricultural Bank Of China,17,14,🔒,🔒,🔒,🔒,,
Starbucks,18,29,🔒,🔒,🔒,🔒,,
Toyota,19,12,🔒,🔒,🔒,🔒,,
WeChat,20,13,🔒,🔒,🔒,🔒,,
Moutai,21,32,🔒,🔒,🔒,🔒,,
AT&T,22,26,🔒,🔒,🔒,🔒,,
Disney,23,19,🔒,🔒,🔒,🔒,,
Allianz Group,24,30,🔒,🔒,🔒,🔒,,
Shell,25,23,🔒,🔒,🔒,🔒,,
Instagram,26,47,🔒,🔒,🔒,🔒,,
Bank of China,27,24,🔒,🔒,🔒,🔒,,
Costco,28,40,🔒,🔒,🔒,🔒,,
Aramco,29,31,🔒,🔒,🔒,🔒,,
Ping An,30,21,🔒,🔒,🔒,🔒,,
Huawei,31,9,🔒,🔒,🔒,🔒,,
China Mobile,32,34,🔒,🔒,🔒,🔒,,
BMW,33,39,🔒,🔒,🔒,🔒,,
accenture,34,43,🔒,🔒,🔒,🔒,,
Oracle,35,57,🔒,🔒,🔒,🔒,,
Bank of America,36,41,🔒,🔒,🔒,🔒,,
Tencent,37,27,🔒,🔒,🔒,🔒,,
UnitedHealthcare,38,50,🔒,🔒,🔒,🔒,,
McDonald's,39,36,🔒,🔒,🔒,🔒,,
Porsche,40,46,🔒,🔒,🔒,🔒,,
NTT Group,41,35,🔒,🔒,🔒,🔒,,
UPS,42,38,🔒,🔒,🔒,🔒,,
Mitsubishi Group,43,37,🔒,🔒,🔒,🔒,,
Marlboro,44,42,🔒,🔒,🔒,🔒,,
Deloitte,45,54,🔒,🔒,🔒,🔒,,
American Express,46,63,🔒,🔒,🔒,🔒,,
Volkswagen,47,33,🔒,🔒,🔒,🔒,,
Coca-Cola,48,44,🔒,🔒,🔒,🔒,,
Wells Fargo,49,53,🔒,🔒,🔒,🔒,,
CSCEC,50,62,🔒,🔒,🔒,🔒,,
J.P. Morgan,51,58,🔒,🔒,🔒,🔒,,
Lowe's,52,48,🔒,🔒,🔒,🔒,,
Chase,53,52,🔒,🔒,🔒,🔒,,
Nike,54,49,🔒,🔒,🔒,🔒,,
Mitsui,55,75,🔒,🔒,🔒,🔒,,
CVS,56,67,🔒,🔒,🔒,🔒,,
Citi,57,45,🔒,🔒,🔒,🔒,,
Taobao,58,22,🔒,🔒,🔒,🔒,,
Wuliangye,59,59,🔒,🔒,🔒,🔒,,
YouTube,60,79,🔒,🔒,🔒,🔒,,
PetroChina,61,55,🔒,🔒,🔒,🔒,,
VISA,62,65,🔒,🔒,🔒,🔒,,
FedEx,63,68,🔒,🔒,🔒,🔒,,
Xfinity,64,51,🔒,🔒,🔒,🔒,,
Target,65,60,🔒,🔒,🔒,🔒,,
Tmall,66,25,🔒,🔒,🔒,🔒,,
Hyundai Group,67,72,🔒,🔒,🔒,🔒,,
Sinopec,68,70,🔒,🔒,🔒,🔒,,
Tata Group,69,78,🔒,🔒,🔒,🔒,,
Louis Vuitton,70,81,🔒,🔒,🔒,🔒,,
IBM,71,89,🔒,🔒,🔒,🔒,,
EY,72,82,🔒,🔒,🔒,🔒,,
PWC,73,83,🔒,🔒,🔒,🔒,,
Mastercard,74,88,🔒,🔒,🔒,🔒,,
China Merchants Bank,75,74,🔒,🔒,🔒,🔒,,
Honda,76,61,🔒,🔒,🔒,🔒,,
Netflix,77,56,🔒,🔒,🔒,🔒,,
Cisco,78,66,🔒,🔒,🔒,🔒,,
Sumitomo Group,79,71,🔒,🔒,🔒,🔒,,
Spectrum,80,77,🔒,🔒,🔒,🔒,,
Uber,81,85,🔒,🔒,🔒,🔒,,
Intel,82,69,🔒,🔒,🔒,🔒,,
Dell Technologies,83,87,🔒,🔒,🔒,🔒,,
SK Group,84,73,🔒,🔒,🔒,🔒,,
Nestlé,85,90,🔒,🔒,🔒,🔒,,
Ford,86,76,🔒,🔒,🔒,🔒,,
TSMC,87,93,🔒,🔒,🔒,🔒,,
Walgreens,88,97,🔒,🔒,🔒,🔒,,
Siemens Group,89,86,🔒,🔒,🔒,🔒,,
LG Group,90,91,🔒,🔒,🔒,🔒,,
SAP,91,106,🔒,🔒,🔒,🔒,,
TotalEnergies,92,128,🔒,🔒,🔒,🔒,,
TD,93,114,🔒,🔒,🔒,🔒,,
Optum,94,123,🔒,🔒,🔒,🔒,,
Anthem,95,104,🔒,🔒,🔒,🔒,,
HSBC,96,109,🔒,🔒,🔒,🔒,,
CREC,97,107,🔒,🔒,🔒,🔒,,
Chanel,98,127,🔒,🔒,🔒,🔒,,
General Electric,99,95,🔒,🔒,🔒,🔒,,
Salesforce,100,111,🔒,🔒,🔒,🔒,,
CRCC,101,96,🔒,🔒,🔒,🔒,,
JD.com,102,64,🔒,🔒,🔒,🔒,,
Bank of Communications,103,112,🔒,🔒,🔒,🔒,,
Goldman Sachs,104,120,🔒,🔒,🔒,🔒,,
Orange,105,102,🔒,🔒,🔒,🔒,,
Capital One,106,115,🔒,🔒,🔒,🔒,,
Pepsi,107,92,🔒,🔒,🔒,🔒,,
China Life,108,80,🔒,🔒,🔒,🔒,,
Gucci,109,108,🔒,🔒,🔒,🔒,,
China Telecom,110,105,🔒,🔒,🔒,🔒,,
Lidl,111,110,🔒,🔒,🔒,🔒,,
KFC,112,113,🔒,🔒,🔒,🔒,,
Boeing,113,125,🔒,🔒,🔒,🔒,,
Chevron,114,132,🔒,🔒,🔒,🔒,,
Postal Savings Bank,115,121,🔒,🔒,🔒,🔒,,
